(874, 109, 154)
(157, 76, 108)
(144, 90, 116)
(367, 101, 228)
(475, 106, 316)
(335, 120, 306)
(423, 208, 457)
(635, 300, 565)
(673, 353, 474)
(614, 261, 467)
(496, 188, 395)
(288, 86, 139)
(398, 128, 269)
(225, 159, 195)
(246, 78, 183)
(468, 159, 302)
(98, 60, 88)
(130, 51, 103)
(230, 111, 155)
(214, 76, 171)
(372, 191, 236)
(583, 453, 464)
(140, 109, 124)
(806, 237, 457)
(460, 152, 388)
(293, 259, 240)
(90, 50, 109)
(107, 37, 90)
(292, 234, 200)
(198, 50, 190)
(103, 32, 73)
(627, 272, 601)
(205, 72, 218)
(428, 151, 672)
(337, 67, 499)
(251, 231, 207)
(105, 45, 87)
(512, 141, 653)
(173, 52, 157)
(193, 85, 179)
(185, 72, 161)
(140, 50, 153)
(180, 94, 221)
(398, 96, 480)
(321, 237, 304)
(78, 32, 98)
(172, 70, 174)
(208, 94, 185)
(122, 50, 95)
(181, 48, 154)
(79, 29, 33)
(240, 179, 265)
(109, 38, 98)
(348, 112, 460)
(522, 83, 263)
(90, 49, 74)
(83, 37, 90)
(103, 32, 104)
(159, 32, 114)
(132, 44, 165)
(327, 66, 312)
(302, 125, 214)
(371, 122, 745)
(171, 81, 72)
(659, 212, 606)
(421, 96, 983)
(301, 109, 286)
(263, 109, 281)
(127, 52, 100)
(305, 53, 128)
(166, 30, 94)
(90, 34, 101)
(204, 58, 174)
(128, 46, 134)
(368, 66, 229)
(144, 42, 180)
(194, 51, 133)
(144, 70, 172)
(225, 49, 128)
(197, 85, 192)
(296, 83, 172)
(119, 43, 113)
(162, 65, 126)
(189, 60, 259)
(112, 41, 98)
(167, 56, 163)
(367, 223, 526)
(147, 35, 149)
(307, 69, 251)
(324, 86, 203)
(326, 192, 440)
(224, 61, 178)
(415, 153, 552)
(275, 131, 438)
(565, 122, 339)
(203, 158, 255)
(271, 66, 279)
(191, 45, 166)
(289, 75, 266)
(270, 104, 269)
(150, 63, 133)
(195, 73, 169)
(212, 72, 460)
(83, 14, 69)
(215, 82, 282)
(128, 41, 150)
(248, 83, 221)
(214, 42, 193)
(161, 50, 114)
(159, 37, 140)
(440, 168, 440)
(576, 165, 415)
(397, 98, 1005)
(175, 62, 189)
(172, 54, 190)
(187, 56, 195)
(820, 199, 481)
(197, 86, 196)
(324, 101, 209)
(201, 74, 150)
(213, 57, 179)
(612, 179, 603)
(220, 78, 323)
(254, 78, 239)
(708, 213, 579)
(289, 188, 332)
(133, 45, 137)
(197, 64, 218)
(345, 97, 446)
(496, 339, 665)
(206, 36, 180)
(532, 169, 699)
(555, 321, 488)
(202, 44, 122)
(219, 50, 139)
(679, 319, 502)
(374, 119, 269)
(179, 36, 198)
(101, 30, 112)
(144, 40, 127)
(273, 92, 323)
(184, 54, 117)
(767, 236, 497)
(226, 58, 211)
(338, 157, 214)
(578, 176, 746)
(202, 75, 239)
(473, 140, 480)
(410, 175, 374)
(449, 197, 429)
(252, 47, 163)
(600, 418, 482)
(355, 88, 368)
(225, 57, 205)
(687, 218, 595)
(229, 111, 300)
(78, 24, 107)
(308, 77, 249)
(502, 186, 465)
(229, 71, 158)
(120, 56, 125)
(177, 57, 188)
(162, 62, 188)
(176, 58, 172)
(109, 47, 159)
(117, 37, 105)
(222, 81, 200)
(252, 60, 152)
(108, 57, 133)
(205, 87, 291)
(656, 159, 685)
(539, 209, 752)
(587, 221, 590)
(528, 183, 767)
(650, 216, 634)
(175, 60, 229)
(269, 87, 262)
(477, 74, 438)
(148, 41, 125)
(433, 106, 319)
(203, 82, 305)
(336, 117, 265)
(699, 178, 621)
(403, 131, 354)
(227, 60, 208)
(218, 58, 190)
(250, 53, 198)
(244, 54, 161)
(533, 97, 356)
(210, 69, 253)
(255, 82, 269)
(713, 179, 608)
(71, 22, 97)
(233, 55, 167)
(715, 171, 408)
(182, 41, 370)
(154, 59, 199)
(126, 40, 120)
(279, 57, 222)
