(44, 9, 24)
(21, 1, 13)
(150, 16, 97)
(441, 67, 314)
(87, 16, 54)
(36, 6, 16)
(21, 4, 12)
(33, 13, 34)
(370, 37, 316)
(60, 8, 93)
(86, 34, 83)
(21, 5, 27)
(84, 10, 69)
(550, 104, 346)
(37, 8, 32)
(80, 11, 48)
(423, 71, 506)
(26, 12, 42)
(519, 78, 403)
(98, 18, 153)
(25, 10, 23)
(87, 13, 57)
(553, 80, 367)
(151, 24, 88)
(72, 17, 81)
(471, 129, 400)
(37, 18, 41)
(544, 134, 322)
(293, 34, 184)
(505, 108, 387)
(541, 65, 394)
(375, 48, 224)
(565, 60, 375)
(57, 18, 55)
(411, 171, 418)
(34, 10, 25)
(346, 39, 181)
(22, 2, 5)
(529, 110, 361)
(35, 4, 42)
(394, 56, 208)
(610, 83, 307)
(642, 78, 280)
(338, 41, 256)
(534, 106, 360)
(481, 64, 455)
(411, 49, 257)
(437, 59, 504)
(546, 101, 353)
(60, 15, 48)
(545, 65, 390)
(34, 4, 32)
(515, 91, 394)
(492, 114, 394)
(73, 10, 33)
(526, 104, 370)
(80, 12, 34)
(146, 8, 61)
(548, 79, 373)
(47, 10, 30)
(24, 9, 15)
(22, 5, 16)
(625, 73, 302)
(501, 109, 390)
(461, 200, 339)
(577, 137, 286)
(478, 113, 409)
(93, 19, 43)
(480, 108, 412)
(83, 10, 32)
(25, 2, 14)
(81, 18, 62)
(551, 94, 355)
(58, 23, 27)
(93, 5, 30)
(597, 74, 329)
(63, 12, 27)
(483, 71, 446)
(544, 76, 380)
(62, 6, 30)
(44, 7, 54)
(462, 127, 411)
(83, 10, 42)
(120, 18, 151)
(286, 164, 186)
(31, 3, 20)
(428, 95, 477)
(26, 7, 32)
(173, 39, 129)
(564, 99, 337)
(83, 17, 22)
(58, 10, 28)
(59, 16, 58)
(588, 90, 322)
(77, 33, 45)
(459, 140, 401)
(192, 48, 104)
(6, 1, 9)
(239, 41, 106)
(89, 15, 30)
